time,type,asset,quantity,gas,chain,id,katanaTxId,katanaTxStatus,vaultName,vaultManagerAddress
2026-03-13T20:30:50.013Z,deposit,USDC,1.00000000,,katana.katana,86218dc0-1f1b-11f1-9f6d-5dd3d845c2f6,0xccd328b003f87923263beb8cdca8daf0f264955cdd4c9ea1c7bdd5789b7e7633,,,
2026-03-13T20:35:22.007Z,deposit,USDC,2.00000000,,stargate.ethereum,2840b270-1f1c-11f1-9f6d-5dd3d845c2f6,0xb2a6e691cec36d6c30a7ce1018d21280256f86f692f3cd8f5d05fac89d218b84,,,
2026-03-13T20:47:04.014Z,deposit,USDC,2.00000000,,stargate.ethereum,caae4fd0-1f1d-11f1-9f6d-5dd3d845c2f6,0x6b8c47be7e2822266f31e9deece19a74682510499103fb4f831fd51c31611e42,,,
2026-03-14T14:31:27.378Z,withdrawal,USDC,2.00000000,0.05000000,katana.katana,7c3565b0-1fb2-11f1-ad31-6935a5ab4790,0x4d4fd99d6410236d2a4be594a450143a96a0b54ce6612235b656d31b5e77261d,mined,,
2026-03-14T14:34:52.013Z,deposit,USDC,5.00000000,,stargate.ethereum,f62f22c0-1fb2-11f1-9f6d-5dd3d845c2f6,0xee99e0b2161cb6c165a67c34ee10204028cba58b5ad8f855cd4951262e714af6,,,
2026-03-14T14:36:24.006Z,deposit,USDC,1.99977700,,stargate.base,2d042750-1fb3-11f1-9f6d-5dd3d845c2f6,0xb241f755f345f87c7da6edb48e58448299d5a61348d5cbdcf8e55f3839e15671,,,
2026-03-14T20:02:26.031Z,deposit,USDC,1.99977700,,stargate.base,b8e3fac0-1fe0-11f1-b591-f7432203fc42,0x60ff6668d947e704ab37dc50b241afb84c7aa752f1abe5598391f530c5c31040,,,
2026-03-15T19:17:18.570Z,withdrawal,USDC,30.20000000,0.05000000,katana.katana,95875b30-20a3-11f1-b646-a71b7dc4f7b7,0xd421610c7a55db25fb5289d604edaeefd0b9f8d541bbe1bc3b85cedc527b961d,mined,,
2026-03-15T20:29:22.013Z,deposit,USDC,2.00000000,,katana.katana,a68151c0-20ad-11f1-b591-f7432203fc42,0x42e08dcaef5fb9bcb356de21166eb4adecdf792086eb6bc139d5c5492a4541ac,,,
2026-03-15T20:29:36.498Z,withdrawal,USDC,2.05869600,0.05000000,katana.katana,af22a3b0-20ad-11f1-8ff2-7fda8155ee70,0x563caa485c94f687e3fe267ed86f0fbe7ac512541a94a2eafc9635ca3975c247,mined,,
